"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.1.333";"PASSED";"0.68";"NDXm_TICK_UTCPlus02";"M15";"1650.4";"";"743";"1.15";"0.7";"0.06";"0.83";"0.85";"0.0";"704.75";"1.5";"2.34";"0.6";"28.91";"37.86";"17.85";"20.77";"19.02";"3.66";"0.73";"1012.61";"";"210";"1.28";"1.33";"0.11";"2.03";"0.78";"0.0";"308.82";"1.53";"3.28";"3.27";"36.89";"44.25";"28.18";"27.65";"27.97";"0.25"
"Strategy 1.1.339";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"4433.89";"";"1416";"1.21";"1.44";"0.08";"2.22";"0.9";"0.0";"627.22";"1.52";"7.07";"1.85";"29.65";"37.29";"19.07";"20.29";"19.56";"3.45";"0.55";"647.95";"";"414";"1.08";"0.56";"0.04";"1.3";"0.7";"0.0";"596.9";"1.29";"1.09";"1.09";"37.08";"44.15";"26.88";"26.65";"26.78";"0.34"
"Strategy 1.1.341";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"2130.25";"";"700";"1.16";"0.75";"0.08";"1.07";"0.85";"0.0";"554.07";"0.91";"3.84";"0.97";"46.91";"36.99";"30.5";"27.76";"29.07";"6.3";"0.7";"1579.01";"";"241";"1.27";"1.41";"0.14";"3.16";"0.71";"0.0";"579.57";"0.93";"2.72";"2.8";"63.49";"46.28";"42.32";"33.15";"37.56";"2.39"
"Strategy 1.1.348";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"5663.85";"";"2490";"1.11";"1.05";"0.07";"2.83";"0.75";"0.0";"962.69";"0.76";"5.88";"1.43";"51.35";"34.95";"23.77";"17.36";"20.12";"12.65";"0.77";"3466.94";"";"750";"1.2";"1.76";"0.11";"6.93";"0.82";"0.0";"869.08";"0.79";"3.99";"4.2";"62.69";"41.25";"28.13";"18.96";"23.01";"3.53"
"Strategy 1.1.364";"PASSED";"0.58";"NDXm_TICK_UTCPlus02";"M15";"1537.36";"";"979";"1.11";"0.58";"0.05";"0.77";"0.74";"0.0";"1174.96";"1.2";"1.31";"0.34";"29.7";"32.05";"14.07";"13.96";"14.02";"4.29";"0.71";"1214.35";"";"253";"1.29";"1.51";"0.13";"2.43";"0.82";"0.0";"424.49";"1.3";"2.86";"2.93";"38.01";"38.37";"23.28";"20.63";"22.13";"0.76"
"Strategy 1.1.368";"PASSED";"0.62";"NDXm_TICK_UTCPlus02";"M15";"2143.76";"";"1241";"1.1";"0.63";"0.05";"1.07";"0.79";"0.0";"1262.45";"1.11";"1.7";"0.44";"35.61";"36.02";"14.6";"14.0";"14.32";"6.34";"0.53";"823.99";"";"442";"1.09";"0.64";"0.04";"1.65";"0.71";"0.0";"862.77";"1.05";"0.96";"0.96";"45.69";"43.99";"17.12";"14.11";"15.64";"1.64"
"Strategy 1.1.398";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"3312.77";"";"863";"1.26";"1.29";"0.11";"1.66";"0.7";"0.0";"561.23";"1.45";"5.9";"1.51";"31.18";"35.85";"13.42";"14.55";"13.88";"2.02";"0.58";"1219.13";"";"287";"1.24";"1.34";"0.1";"2.44";"0.65";"0.0";"938.26";"1.31";"1.3";"1.32";"39.13";"41.6";"16.2";"10.85";"13.89";"0.46"
"Strategy 1.1.407";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"3725.55";"";"1120";"1.17";"1.0";"0.1";"1.86";"0.79";"0.0";"777.44";"0.66";"4.79";"1.24";"57.42";"32.2";"26.47";"17.14";"20.84";"4.96";"0.54";"717.73";"";"379";"1.08";"0.52";"0.05";"1.44";"0.76";"0.0";"675.32";"0.61";"1.06";"1.07";"66.69";"37.37";"32.6";"20.0";"24.75";"2.06"
"Strategy 1.1.422";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"2930.66";"";"951";"1.18";"0.98";"0.11";"1.47";"0.87";"0.0";"604.39";"0.66";"4.85";"1.27";"50.24";"27.89";"14.45";"9.19";"11.27";"2.27";"0.63";"1119.1";"";"302";"1.2";"1.06";"0.12";"2.24";"0.7";"0.0";"637.26";"0.62";"1.76";"1.82";"58.49";"30.46";"15.55";"10.01";"12.14";"0.63"
"Strategy 1.1.441";"PASSED";"0.67";"NDXm_TICK_UTCPlus02";"M15";"2143.62";"";"1267";"1.09";"0.55";"0.05";"1.07";"0.82";"0.0";"952.26";"0.66";"2.25";"0.58";"51.82";"31.64";"19.92";"14.22";"16.49";"5.29";"0.74";"2014.92";"";"463";"1.2";"1.41";"0.12";"4.03";"0.75";"0.0";"597.03";"0.67";"3.37";"3.44";"65.86";"36.95";"18.02";"12.23";"14.55";"1.05"
"Strategy 1.1.454";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"4342.08";"";"883";"1.24";"1.21";"0.15";"2.17";"0.87";"0.0";"778.26";"0.62";"5.58";"1.47";"66.01";"32.97";"28.25";"17.27";"21.47";"4.29";"0.56";"1011.41";"";"272";"1.15";"0.77";"0.09";"2.02";"0.66";"0.0";"873.7";"0.6";"1.16";"1.2";"75.98";"39.64";"31.08";"16.78";"22.14";"1.26"
"Strategy 1.1.456";"PASSED";"0.63";"NDXm_TICK_UTCPlus02";"M15";"2311.71";"";"991";"1.11";"0.62";"0.06";"1.16";"0.72";"0.0";"1327.71";"0.8";"1.74";"0.46";"53.65";"38.48";"38.97";"30.09";"34.02";"10.46";"0.58";"1339.23";"";"287";"1.19";"1.02";"0.1";"2.68";"0.67";"0.0";"1022.03";"0.81";"1.31";"1.33";"65.89";"44.62";"35.32";"34.31";"34.76";"0.5"
"Strategy 1.1.484";"PASSED";"0.7";"NDXm_TICK_UTCPlus02";"M15";"4687.51";"";"2685";"1.09";"0.82";"0.05";"2.34";"0.71";"0.0";"1715.19";"0.67";"2.73";"0.71";"53.67";"33.09";"22.4";"15.92";"18.52";"10.8";"0.81";"3576.16";"";"888";"1.18";"1.66";"0.1";"7.15";"0.91";"0.0";"685.97";"0.68";"5.21";"5.59";"66.53";"38.59";"26.13";"15.81";"20.0";"3.45"
"Strategy 1.1.490";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"2356.78";"";"490";"1.27";"0.97";"0.15";"1.18";"0.75";"0.0";"496.95";"0.82";"4.74";"1.22";"49.96";"32.28";"21.55";"15.32";"18.13";"1.13";"0.67";"721.66";"";"150";"1.22";"0.86";"0.13";"1.44";"0.83";"0.0";"315.8";"0.74";"2.29";"2.29";"61.86";"37.65";"27.47";"11.01";"18.03";"0.38"
"Strategy 1.1.515";"PASSED";"0.57";"NDXm_TICK_UTCPlus02";"M15";"647.71";"";"880";"1.06";"0.27";"0.03";"0.32";"0.82";"0.0";"507.58";"0.94";"1.28";"0.32";"26.33";"23.39";"12.89";"13.08";"12.99";"5.29";"0.74";"1029.14";"";"197";"1.42";"1.64";"0.19";"2.06";"0.84";"0.0";"303.81";"1.19";"3.39";"3.43";"32.64";"27.37";"14.96";"12.29";"13.74";"0.34"
"Strategy 1.1.530";"PASSED";"0.54";"NDXm_TICK_UTCPlus02";"M15";"1541.76";"";"1691";"1.07";"0.49";"0.03";"0.77";"0.71";"0.0";"1447.85";"1.0";"1.06";"0.27";"27.83";"26.11";"10.66";"10.89";"10.77";"6.51";"0.74";"2249.02";"";"485";"1.31";"1.97";"0.15";"4.5";"0.83";"0.0";"675.26";"1.12";"3.33";"3.38";"37.33";"31.91";"14.57";"12.2";"13.45";"0.5"
"Strategy 1.1.533";"PASSED";"0.68";"NDXm_TICK_UTCPlus02";"M15";"5701.49";"";"3256";"1.09";"0.91";"0.05";"2.85";"0.83";"0.0";"2444.43";"0.68";"2.33";"0.62";"54.24";"33.81";"18.85";"12.07";"14.81";"11.43";"0.73";"2892.63";"";"1116";"1.11";"1.26";"0.07";"5.79";"0.81";"0.0";"928.44";"0.67";"3.12";"3.23";"63.06";"37.66";"17.7";"10.29";"13.25";"2.65"
"Strategy 1.1.547";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"2911.66";"";"752";"1.2";"1.01";"0.09";"1.46";"0.85";"0.0";"1046.65";"1.16";"2.78";"0.73";"42.84";"41.36";"34.27";"33.88";"34.09";"7.14";"0.73";"1444.35";"";"256";"1.24";"1.34";"0.11";"2.89";"0.76";"0.0";"447.47";"1.15";"3.23";"3.25";"54.39";"50.48";"43.98";"40.92";"42.56";"2.82"
"Strategy 1.2.307";"PASSED";"0.64";"NDXm_TICK_UTCPlus02";"M15";"2156.48";"";"934";"1.12";"0.61";"0.07";"1.08";"0.84";"0.0";"1110.35";"0.63";"1.94";"0.5";"57.6";"32.68";"27.08";"17.5";"21.22";"3.28";"0.7";"1611.97";"";"296";"1.23";"1.27";"0.14";"3.22";"0.8";"0.0";"588.75";"0.65";"2.74";"2.8";"72.49";"38.38";"30.36";"22.09";"25.36";"1.26"
"Strategy 1.2.341";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"3671.47";"";"1080";"1.17";"0.99";"0.1";"1.84";"0.78";"0.0";"744.25";"0.66";"4.93";"1.28";"58.05";"32.62";"26.47";"17.25";"20.91";"4.96";"0.55";"797.06";"";"363";"1.09";"0.59";"0.06";"1.59";"0.75";"0.0";"712.37";"0.61";"1.12";"1.13";"67.18";"37.66";"33.49";"20.55";"25.47";"2.06"
"Strategy 1.2.353";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"3402.46";"";"879";"1.29";"1.33";"0.14";"1.7";"0.71";"0.0";"539.87";"0.97";"6.3";"1.61";"35.36";"26.7";"10.76";"9.2";"9.97";"1.64";"0.67";"1367.24";"";"290";"1.28";"1.46";"0.15";"2.73";"0.71";"0.0";"610.25";"0.9";"2.24";"2.27";"45.26";"31.59";"13.6";"8.27";"10.79";"0.29"
"Strategy 1.2.386";"PASSED";"0.86";"NDXm_TICK_UTCPlus02";"M15";"4338.4";"";"1412";"1.21";"1.41";"0.08";"2.17";"0.9";"0.0";"558.78";"1.52";"7.76";"2.02";"29.66";"37.26";"19.14";"20.32";"19.61";"3.45";"0.58";"789.39";"";"409";"1.1";"0.71";"0.04";"1.58";"0.72";"0.0";"596.9";"1.31";"1.32";"1.33";"37.03";"44.08";"27.04";"27.15";"27.09";"0.34"
"Strategy 1.2.428";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"2603.21";"";"607";"1.22";"0.95";"0.13";"1.3";"0.82";"0.0";"724.58";"0.74";"3.59";"0.92";"55.96";"33.91";"20.49";"11.42";"15.28";"1.89";"0.66";"883.54";"";"217";"1.19";"0.86";"0.11";"1.77";"0.74";"0.0";"415.36";"0.67";"2.13";"2.16";"64.35";"36.27";"26.69";"13.15";"18.58";"0.97"
"Strategy 1.2.465";"PASSED";"0.87";"NDXm_TICK_UTCPlus02";"M15";"3389.19";"";"712";"1.34";"1.54";"0.13";"1.69";"0.9";"0.0";"403.97";"1.7";"8.39";"2.14";"29.49";"37.21";"17.85";"20.1";"18.69";"3.15";"0.7";"925.84";"";"210";"1.25";"1.17";"0.1";"1.85";"0.66";"0.0";"345.25";"1.41";"2.68";"2.68";"38.09";"43.22";"26.46";"27.54";"26.91";"0.25"
"Strategy 1.2.478";"PASSED";"0.57";"NDXm_TICK_UTCPlus02";"M15";"1521.23";"";"982";"1.11";"0.58";"0.05";"0.76";"0.74";"0.0";"1174.96";"1.19";"1.29";"0.33";"29.66";"31.96";"14.13";"13.93";"14.04";"4.29";"0.71";"1214.35";"";"253";"1.29";"1.51";"0.13";"2.43";"0.82";"0.0";"424.49";"1.3";"2.86";"2.93";"38.01";"38.37";"23.28";"20.63";"22.13";"0.76"
"Strategy 1.2.551";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"4295.57";"";"1025";"1.24";"1.4";"0.12";"2.15";"0.88";"0.0";"714.86";"1.01";"6.01";"1.54";"43.14";"34.98";"19.8";"16.76";"18.28";"1.85";"0.64";"1223.12";"";"328";"1.18";"1.16";"0.09";"2.45";"0.75";"0.0";"637.19";"0.98";"1.92";"1.99";"50.21";"41.63";"20.69";"20.17";"20.43";"1.13"
"Strategy 1.2.559";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"3661.03";"";"1295";"1.13";"0.86";"0.07";"1.83";"0.78";"0.0";"1023.95";"0.75";"3.58";"0.95";"58.94";"39.26";"30.08";"21.67";"25.27";"7.35";"0.62";"1478.15";"";"463";"1.13";"0.89";"0.07";"2.96";"0.83";"0.0";"884.67";"0.73";"1.67";"1.69";"67.89";"43.89";"31.59";"19.01";"24.31";"2.27"
"Strategy 1.2.567";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"4723.68";"";"2361";"1.1";"0.9";"0.06";"2.36";"0.71";"0.0";"1168.63";"0.79";"4.04";"1.05";"50.23";"35.97";"24.5";"18.64";"21.22";"12.69";"0.79";"3114.3";"";"703";"1.19";"1.65";"0.1";"6.23";"0.86";"0.0";"651.75";"0.83";"4.78";"5.11";"61.04";"42.59";"28.87";"21.16";"24.66";"3.95"
"Strategy 1.2.570";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"2998.16";"";"937";"1.14";"0.82";"0.08";"1.5";"0.77";"0.0";"1023.89";"0.8";"2.93";"0.77";"57.77";"40.19";"36.83";"29.4";"32.69";"3.99";"0.61";"1092.75";"";"255";"1.16";"0.89";"0.09";"2.19";"0.73";"0.0";"678.17";"0.8";"1.61";"1.66";"68.85";"47.09";"45.23";"37.25";"40.78";"0.71"
"Strategy 1.3.317";"PASSED";"0.6";"NDXm_TICK_UTCPlus02";"M15";"2699.35";"";"2014";"1.08";"0.64";"0.04";"1.35";"0.72";"0.0";"1765.2";"1.07";"1.53";"0.4";"37.01";"36.89";"22.55";"21.14";"21.87";"10.55";"0.78";"2891.22";"";"633";"1.22";"1.87";"0.11";"5.78";"0.63";"0.0";"659.41";"1.13";"4.38";"4.7";"46.87";"43.29";"23.53";"22.52";"23.06";"1.81"
"Strategy 1.3.351";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"2964.88";"";"1009";"1.18";"1.03";"0.1";"1.48";"0.73";"0.0";"641.35";"0.8";"4.62";"1.21";"42.49";"28.52";"15.03";"10.54";"12.53";"0.21";"0.56";"648.62";"";"325";"1.12";"0.68";"0.07";"1.3";"0.84";"0.0";"549.21";"0.76";"1.18";"1.19";"44.84";"30.43";"13.62";"9.76";"11.42";"0.0"
"Strategy 1.3.359";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"3506.85";"";"655";"1.27";"1.05";"0.16";"1.75";"0.75";"0.0";"506.44";"0.65";"6.92";"1.78";"65.01";"33.17";"23.86";"18.08";"20.34";"2.48";"0.84";"2590.8";"";"233";"1.49";"2.1";"0.29";"5.18";"0.76";"0.0";"397.56";"0.68";"6.52";"6.56";"84.22";"38.32";"24.94";"13.65";"18.2";"0.76"
"Strategy 1.3.368";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"5338.44";"";"1792";"1.13";"1.0";"0.07";"2.67";"0.75";"0.0";"1040.58";"0.82";"5.13";"1.25";"59.59";"43.19";"36.64";"26.29";"30.94";"17.65";"0.59";"1711.54";"";"615";"1.1";"0.85";"0.06";"3.42";"0.66";"0.0";"1237.04";"0.78";"1.38";"1.44";"69.34";"49.3";"39.4";"25.73";"31.73";"5.92"
"Strategy 1.3.375";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"3683.54";"";"679";"1.27";"1.1";"0.16";"1.84";"0.76";"0.0";"488.2";"0.65";"7.55";"1.85";"64.56";"33.14";"23.93";"18.22";"20.48";"2.56";"0.82";"2626.3";"";"251";"1.45";"2.02";"0.27";"5.25";"0.84";"0.0";"463.19";"0.66";"5.67";"5.71";"84.24";"38.39";"25.22";"13.91";"18.42";"0.84"
"Strategy 1.3.386";"PASSED";"0.68";"NDXm_TICK_UTCPlus02";"M15";"1709.74";"";"691";"1.16";"0.76";"0.06";"0.85";"0.71";"0.0";"729.2";"1.58";"2.34";"0.58";"29.03";"39.44";"17.54";"19.28";"18.21";"2.69";"0.54";"565.91";"";"215";"1.15";"0.69";"0.06";"1.13";"0.42";"0.0";"543.64";"1.59";"1.04";"1.04";"33.07";"45.77";"17.5";"23.92";"19.98";"0.8"
"Strategy 1.3.390";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"3073.96";"";"1505";"1.16";"1.12";"0.08";"1.54";"0.84";"0.0";"453.74";"1.01";"6.77";"1.74";"29.05";"25.21";"10.87";"9.63";"10.25";"2.18";"0.61";"822.66";"";"522";"1.11";"0.82";"0.06";"1.65";"0.72";"0.0";"528.47";"0.96";"1.56";"1.6";"32.84";"28.29";"14.02";"10.41";"12.17";"0.55"
"Strategy 1.3.399";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"3542.53";"";"2170";"1.09";"0.77";"0.05";"1.77";"0.88";"0.0";"1266.4";"0.81";"2.8";"0.73";"45.47";"34.07";"14.16";"10.54";"12.16";"7.73";"0.53";"1280.89";"";"789";"1.07";"0.68";"0.04";"2.56";"0.73";"0.0";"1297.36";"0.75";"0.99";"1.02";"55.69";"39.11";"15.41";"9.71";"12.16";"2.23"
"Strategy 1.3.419";"PASSED";"0.74";"NDXm_TICK_UTCPlus02";"M15";"3475.94";"";"1153";"1.15";"0.95";"0.08";"1.74";"0.9";"0.0";"1028.38";"0.81";"3.38";"0.89";"51.2";"36.02";"27.65";"20.3";"23.59";"4.41";"0.65";"1758.37";"";"373";"1.2";"1.22";"0.11";"3.52";"0.8";"0.0";"874.06";"0.81";"2.01";"2.08";"62.87";"42.43";"28.64";"23.71";"25.92";"1.64"
"Strategy 1.3.463";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"3863.26";"";"1804";"1.11";"0.85";"0.07";"1.93";"0.76";"0.0";"842.64";"0.65";"4.58";"1.13";"53.25";"31.03";"19.23";"13.01";"15.46";"5.97";"0.81";"3705.23";"";"631";"1.27";"1.94";"0.16";"7.41";"0.92";"0.0";"693.75";"0.71";"5.34";"5.45";"66.32";"36.77";"18.39";"11.26";"14.21";"1.3"
"Strategy 1.3.476";"PASSED";"0.54";"NDXm_TICK_UTCPlus02";"M15";"1382.44";"";"1001";"1.07";"0.38";"0.04";"0.69";"0.59";"0.0";"1343.86";"0.7";"1.03";"0.26";"51.61";"33.61";"29.57";"21.35";"24.73";"5.34";"0.54";"753.47";"";"276";"1.11";"0.64";"0.07";"1.51";"0.71";"0.0";"740.84";"0.67";"1.02";"1.03";"66.72";"40.32";"37.12";"30.69";"33.28";"1.3"
"Strategy 1.3.524";"PASSED";"0.74";"NDXm_TICK_UTCPlus02";"M15";"4455.63";"";"1377";"1.15";"0.99";"0.09";"2.23";"0.8";"0.0";"1333.25";"0.64";"3.34";"0.9";"64.15";"35.47";"27.66";"18.36";"21.97";"6.6";"0.58";"1382.73";"";"499";"1.11";"0.8";"0.07";"2.77";"0.83";"0.0";"1057.12";"0.59";"1.31";"1.33";"74.36";"39.41";"30.53";"15.33";"20.97";"1.97"
"Strategy 1.3.525";"PASSED";"0.74";"NDXm_TICK_UTCPlus02";"M15";"1588.59";"";"708";"1.12";"0.6";"0.06";"0.79";"0.7";"0.0";"469.55";"1.17";"3.38";"0.87";"37.67";"39.03";"16.08";"18.95";"17.41";"2.18";"0.78";"1852.45";"";"259";"1.37";"1.77";"0.16";"3.7";"0.85";"0.0";"420.77";"1.27";"4.4";"4.4";"46.9";"43.4";"18.57";"13.51";"16.34";"1.05"
"Strategy 1.3.528";"PASSED";"0.63";"NDXm_TICK_UTCPlus02";"M15";"2207.1";"";"2031";"1.08";"0.66";"0.04";"1.1";"0.79";"0.0";"1227.78";"0.95";"1.8";"0.47";"28.72";"25.29";"11.09";"9.75";"10.41";"2.52";"0.61";"1036.76";"";"616";"1.11";"0.92";"0.06";"2.07";"0.82";"0.0";"663.21";"0.95";"1.56";"1.58";"33.98";"28.98";"14.66";"11.46";"13.02";"0.38"
"Strategy 1.3.533";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"5026.89";"";"2608";"1.1";"0.97";"0.05";"2.51";"0.75";"0.0";"1099.93";"1.05";"4.57";"1.11";"42.37";"40.41";"23.95";"20.64";"22.33";"13.61";"0.72";"2193.57";"";"829";"1.12";"1.2";"0.06";"4.39";"0.84";"0.0";"724.02";"1.04";"3.03";"3.07";"49.39";"45.82";"27.01";"21.57";"24.34";"4.41"
"Strategy 1.3.536";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"2596.2";"";"887";"1.2";"1.02";"0.08";"1.3";"0.87";"0.0";"483.69";"1.53";"5.37";"1.35";"29.28";"37.32";"17.9";"19.58";"18.56";"3.61";"0.56";"681.29";"";"258";"1.14";"0.77";"0.06";"1.36";"0.7";"0.0";"565.37";"1.32";"1.21";"1.23";"37.66";"43.73";"28.03";"28.27";"28.14";"0.25"
"Strategy 1.3.558";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"3477.13";"";"1189";"1.16";"0.97";"0.09";"1.74";"0.76";"0.0";"1182.84";"0.69";"2.94";"0.76";"52.39";"31.03";"20.42";"14.6";"16.97";"4.5";"0.79";"2581.76";"";"438";"1.28";"1.76";"0.16";"5.16";"0.81";"0.0";"535.44";"0.7";"4.82";"4.87";"65.85";"36.33";"20.28";"13.62";"16.37";"1.26"
"Strategy 1.3.570";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"1687.07";"";"751";"1.16";"0.76";"0.08";"0.84";"0.81";"0.0";"569.68";"1.01";"2.96";"0.75";"32.05";"27.96";"18.75";"14.84";"16.81";"2.27";"0.53";"550.65";"";"246";"1.13";"0.68";"0.07";"1.1";"0.74";"0.0";"572.95";"1.03";"0.96";"0.97";"37.45";"34.13";"21.46";"23.36";"22.39";"0.29"
"Strategy 1.4.308";"PASSED";"0.87";"NDXm_TICK_UTCPlus02";"M15";"2749.8";"";"403";"1.37";"1.1";"0.22";"1.37";"0.72";"0.0";"317.66";"0.67";"8.66";"2.18";"63.83";"31.1";"25.13";"17.02";"20.26";"1.68";"0.52";"499.95";"";"120";"1.18";"0.59";"0.12";"1.0";"0.74";"0.0";"390.26";"0.56";"1.28";"1.3";"75.59";"35.72";"31.95";"14.78";"20.93";"0.71"
"Strategy 1.4.311";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"1887.21";"";"512";"1.23";"0.88";"0.11";"0.94";"0.8";"0.0";"608.86";"1.16";"3.1";"0.79";"36.89";"34.85";"24.51";"21.67";"23.2";"1.93";"0.52";"403.4";"";"151";"1.12";"0.49";"0.06";"0.81";"0.74";"0.0";"438.05";"1.04";"0.92";"0.93";"47.56";"44.04";"29.52";"30.36";"29.93";"0.25"
"Strategy 1.4.366";"PASSED";"0.64";"NDXm_TICK_UTCPlus02";"M15";"1682.58";"";"921";"1.1";"0.53";"0.05";"0.84";"0.66";"0.0";"876.7";"0.93";"1.92";"0.49";"43.0";"36.66";"22.8";"16.63";"19.61";"2.1";"0.53";"540.76";"";"304";"1.08";"0.49";"0.04";"1.08";"0.73";"0.0";"571.82";"0.88";"0.95";"0.95";"51.06";"41.42";"24.39";"17.41";"20.67";"0.67"
"Strategy 1.4.401";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"3709.96";"";"861";"1.17";"0.92";"0.1";"1.85";"0.87";"0.0";"1449.25";"0.73";"2.56";"0.68";"70.23";"43.51";"57.29";"42.78";"48.88";"7.86";"0.61";"1091.82";"";"269";"1.14";"0.77";"0.08";"2.18";"0.63";"0.0";"686.85";"0.67";"1.59";"1.59";"83.44";"49.19";"63.22";"47.71";"53.94";"2.94"
"Strategy 1.4.416";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"1689.0";"";"726";"1.16";"0.7";"0.08";"0.84";"0.71";"0.0";"659.72";"0.97";"2.56";"0.65";"34.01";"28.33";"13.67";"12.08";"12.86";"2.94";"0.56";"474.42";"";"215";"1.13";"0.63";"0.07";"0.95";"0.58";"0.0";"391.56";"0.87";"1.21";"1.22";"42.08";"32.47";"22.43";"17.85";"19.98";"0.17"
"Strategy 1.4.420";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"3694.05";"";"1198";"1.17";"1.03";"0.1";"1.85";"0.77";"0.0";"1231.85";"0.69";"3.0";"0.79";"52.14";"30.98";"20.3";"14.58";"16.92";"4.5";"0.79";"2578.06";"";"438";"1.28";"1.76";"0.16";"5.16";"0.8";"0.0";"538.19";"0.7";"4.79";"4.82";"65.85";"36.35";"20.28";"13.82";"16.49";"1.26"
"Strategy 1.4.459";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"3696.22";"";"662";"1.28";"1.1";"0.17";"1.85";"0.78";"0.0";"526.02";"0.66";"7.03";"1.82";"64.86";"33.49";"24.05";"18.1";"20.46";"2.56";"0.82";"2509.91";"";"239";"1.45";"2.01";"0.27";"5.02";"0.8";"0.0";"426.95";"0.67";"5.88";"5.91";"83.79";"38.7";"26.22";"13.99";"18.9";"0.88"
"Strategy 1.4.480";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"3582.75";"";"1110";"1.2";"1.12";"0.11";"1.79";"0.8";"0.0";"625.4";"0.76";"5.73";"1.5";"45.45";"28.94";"21.71";"16.68";"18.86";"5.84";"0.79";"2506.53";"";"349";"1.36";"1.89";"0.2";"5.01";"0.71";"0.0";"546.99";"0.84";"4.58";"4.86";"59.47";"36.57";"21.76";"18.58";"20.03";"0.59"
"Strategy 1.4.528";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"2246.8";"";"631";"1.16";"0.69";"0.09";"1.12";"0.74";"0.0";"532.03";"0.77";"4.22";"1.04";"59.5";"39.65";"28.48";"25.18";"26.61";"3.74";"0.81";"2696.87";"";"230";"1.5";"2.16";"0.26";"5.39";"0.81";"0.0";"491.91";"0.89";"5.48";"5.5";"74.96";"44.26";"37.66";"15.89";"26.11";"1.72"
"Strategy 1.4.536";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"5182.21";"";"2601";"1.11";"1.09";"0.05";"2.59";"0.78";"0.0";"1152.63";"1.11";"4.5";"1.18";"37.15";"37.01";"18.23";"16.41";"17.37";"9.79";"0.7";"2311.02";"";"820";"1.13";"1.27";"0.06";"4.62";"0.8";"0.0";"848.05";"1.09";"2.73";"2.82";"46.12";"44.23";"20.22";"17.11";"18.73";"2.73"
